---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  2.398e+00  [0 1.000e+00 1.000e+00 3.255e-02]  !14 -4 47!  WARNING: The linear system solution has not converged
 NS 1-2  4.464e+00  [-9 3.170e-01 3.170e-01 8.744e-05]  [12 -4 52]
 NS 1-3  6.355e+00  [-41 8.807e-03 8.807e-03 9.559e-05]  [7 -7 34]
 NS 1-4  8.436e+00  [-77 1.290e-04 1.290e-04 9.999e-05]  [7 -11 44]
 NS 1-5  1.172e+01  [-110 2.965e-06 2.965e-06 1.905e-04]  !14 0 63!  WARNING: The linear system solution has not converged
 NS 2-1  1.450e+01  [0 1.000e+00 7.708e+01 8.537e-05]  [14 -5 60]
 NS 2-2  1.678e+01  [-40 8.948e-03 6.897e-01 9.121e-05]  [7 -6 45]
 NS 2-3  1.842e+01  [-76 1.572e-04 1.211e-02 5.710e-05]  [9 -6 46]
 NS 2-4  2.000e+01  [-110 3.122e-06 2.406e-04 7.604e-05]  [8 -10 46]
 NS 3-1  2.179e+01  [0 1.000e+00 8.491e+01 6.945e-05]  [11 -7 59]
 NS 3-2  2.394e+01  [-44 6.176e-03 5.244e-01 3.899e-05]  [9 -10 62]
 NS 3-3  2.569e+01  [-79 1.089e-04 9.243e-03 7.477e-05]  [7 -4 46]
 NS 3-4  2.786e+01  [-113 2.146e-06 1.822e-04 9.440e-05]  [8 -5 56]
 NS 4-1  3.045e+01  [0 1.000e+00 6.141e+01 4.753e-05]  [13 -11 64]
 NS 4-2  3.221e+01  [-43 6.760e-03 4.151e-01 6.649e-05]  [8 -6 35]
 NS 4-3  3.395e+01  [-79 1.099e-04 6.749e-03 6.982e-05]  [9 -8 45]
 NS 4-4  3.569e+01  [-114 1.925e-06 1.182e-04 8.893e-05]  [8 -8 37]
 NS 5-1  3.747e+01  [0 1.000e+00 4.256e+01 6.167e-05]  [10 -12 49]
 NS 5-2  3.920e+01  [-45 5.349e-03 2.277e-01 6.299e-05]  [10 -6 52]
 NS 5-3  4.083e+01  [-80 9.564e-05 4.071e-03 7.060e-05]  [7 -7 47]
 NS 6-1  4.264e+01  [0 1.000e+00 2.504e+01 9.523e-05]  [10 -9 55]
 NS 6-2  4.439e+01  [-44 5.975e-03 1.496e-01 9.460e-05]  [9 -4 46]
 NS 6-3  4.631e+01  [-80 9.450e-05 2.367e-03 8.455e-05]  [8 -7 37]
 NS 7-1  4.824e+01  [0 1.000e+00 1.483e+01 8.304e-05]  [11 -8 52]
 NS 7-2  9.004e+01  [-47 4.361e-03 6.469e-02 3.679e-05]  [10 -10 97]
 NS 7-3  9.524e+01  [-83 6.942e-05 1.030e-03 6.658e-05]  [7 -7 83]
 NS 8-1  1.122e+02  [0 1.000e+00 8.149e+00 9.877e-05]  [11 -10 96]
 NS 8-2  1.214e+02  [-45 5.230e-03 4.262e-02 5.234e-05]  [9 -9 91]
 NS 8-3  1.281e+02  [-82 7.727e-05 6.297e-04 8.755e-05]  [7 -5 89]
 NS 9-1  1.328e+02  [0 1.000e+00 4.546e+00 4.450e-05]  [9 -13 80]
 NS 9-2  1.375e+02  [-47 4.166e-03 1.894e-02 9.191e-05]  [8 -7 82]
 NS 9-3  1.409e+02  [-84 5.924e-05 2.693e-04 9.663e-05]  [7 -5 78]
 NS 10-1  1.451e+02  [0 1.000e+00 2.477e+00 8.458e-05]  [10 -5 83]
 NS 10-2  1.497e+02  [-45 5.075e-03 1.257e-02 5.813e-05]  [9 -12 83]
 NS 10-3s 1.534e+02  [-82 7.580e-05 1.878e-04 6.051e-05]  [7 -7 52]
